datetime,datr,devaddr,fcnt,freq,lsnr,rssi,current
2025-07-22T18:56:22Z,SF7BW125,CCCCDDDD,0,917.4,1.2,-114,1.017532
2025-07-22T18:56:53Z,SF7BW125,CCCCDDDD,1,918.0,1.2,-114,1.042802
2025-07-22T18:57:25Z,SF7BW125,CCCCDDDD,2,918.2,-4.2,-117,1.049702
2025-07-22T18:57:57Z,SF7BW125,CCCCDDDD,3,917.0,-3.8,-116,1.057449
2025-07-22T18:58:29Z,SF7BW125,CCCCDDDD,4,917.6,-0.2,-115,1.057838
2025-07-22T18:59:01Z,SF7BW125,CCCCDDDD,5,917.8,-0.8,-115,1.056793
2025-07-22T18:59:33Z,SF7BW125,CCCCDDDD,6,917.2,0.0,-114,1.056766
2025-07-22T19:00:05Z,SF7BW125,CCCCDDDD,7,916.8,-3.5,-118,1.043759
2025-07-22T19:00:37Z,SF7BW125,CCCCDDDD,8,917.8,0.0,-114,1.039682
2025-07-22T19:01:09Z,SF7BW125,CCCCDDDD,9,916.8,-1.8,-118,1.034149
2025-07-22T19:01:41Z,SF7BW125,CCCCDDDD,10,918.0,0.2,-114,1.037007
2025-07-22T19:02:13Z,SF7BW125,CCCCDDDD,11,917.4,-0.5,-113,1.036544
2025-07-22T19:02:45Z,SF7BW125,CCCCDDDD,12,917.2,0.2,-112,1.039488
2025-07-22T19:03:17Z,SF7BW125,CCCCDDDD,13,918.2,-0.8,-115,1.038753
2025-07-22T19:03:49Z,SF7BW125,CCCCDDDD,14,917.0,1.0,-114,1.037463
2025-07-22T19:04:21Z,SF7BW125,CCCCDDDD,15,917.6,1.2,-114,0.035277
2025-07-22T19:04:53Z,SF7BW125,CCCCDDDD,16,917.8,0.2,-114,0.034922
2025-07-22T19:05:25Z,SF7BW125,CCCCDDDD,17,917.0,0.2,-113,0.032519
2025-07-22T19:05:57Z,SF7BW125,CCCCDDDD,18,917.4,1.5,-112,0.031668
2025-07-22T19:06:29Z,SF7BW125,CCCCDDDD,19,918.0,0.0,-112,0.032717
2025-07-22T19:07:01Z,SF7BW125,CCCCDDDD,20,917.6,-2.2,-116,0.036549
2025-07-22T19:07:33Z,SF7BW125,CCCCDDDD,21,918.2,-2.0,-117,0.029035
2025-07-22T19:08:05Z,SF7BW125,CCCCDDDD,22,916.8,-1.0,-118,1.062531
2025-07-22T19:08:37Z,SF7BW125,CCCCDDDD,23,917.2,-2.5,-115,0.995513
2025-07-22T19:09:09Z,SF7BW125,CCCCDDDD,24,917.0,-1.0,-115,1.035815
2025-07-22T19:09:41Z,SF7BW125,CCCCDDDD,25,918.0,-1.8,-115,1.062288
2025-07-22T19:10:13Z,SF7BW125,CCCCDDDD,26,917.4,-2.2,-117,1.070599
2025-07-22T19:10:45Z,SF7BW125,CCCCDDDD,27,917.8,-0.5,-113,1.087014
2025-07-22T19:11:17Z,SF7BW125,CCCCDDDD,28,917.2,-2.5,-114,1.089909
2025-07-22T19:11:49Z,SF7BW125,CCCCDDDD,29,918.2,2.2,-113,1.106845
2025-07-22T19:12:21Z,SF7BW125,CCCCDDDD,30,917.6,-3.5,-115,1.099413
2025-07-22T19:12:53Z,SF7BW125,CCCCDDDD,31,916.8,-2.8,-117,1.096860
2025-07-22T19:13:25Z,SF7BW125,CCCCDDDD,32,917.0,0.5,-114,1.107173
2025-07-22T19:13:57Z,SF7BW125,CCCCDDDD,33,917.8,-1.0,-114,1.114176
2025-07-22T19:14:29Z,SF7BW125,CCCCDDDD,34,917.4,-2.8,-117,1.094822
2025-07-22T19:15:01Z,SF7BW125,CCCCDDDD,35,916.8,-1.8,-118,1.077359
2025-07-22T19:15:33Z,SF7BW125,CCCCDDDD,36,917.6,0.8,-113,1.065958
2025-07-22T19:16:05Z,SF7BW125,CCCCDDDD,37,918.2,-0.5,-115,1.070965
2025-07-22T19:16:37Z,SF7BW125,CCCCDDDD,38,917.2,-0.8,-113,1.077970
2025-07-22T19:17:09Z,SF7BW125,CCCCDDDD,39,918.0,-0.8,-114,1.096952
2025-07-22T19:17:41Z,SF7BW125,CCCCDDDD,40,917.8,-2.2,-114,1.093288
2025-07-22T19:18:13Z,SF7BW125,CCCCDDDD,41,917.2,-3.2,-114,1.089708
2025-07-22T19:18:45Z,SF7BW125,CCCCDDDD,42,916.8,-2.2,-116,1.081585
2025-07-22T19:19:17Z,SF7BW125,CCCCDDDD,43,917.0,-1.2,-115,1.068604
2025-07-22T19:19:49Z,SF7BW125,CCCCDDDD,44,918.2,-1.5,-115,1.044151
2025-07-22T19:20:21Z,SF7BW125,CCCCDDDD,45,917.4,-1.2,-115,1.046655
2025-07-22T19:20:53Z,SF7BW125,CCCCDDDD,46,918.0,-8.2,-118,1.045041
2025-07-22T19:21:25Z,SF7BW125,CCCCDDDD,47,917.6,-1.0,-115,1.048103
2025-07-22T19:21:57Z,SF7BW125,CCCCDDDD,48,918.0,-2.5,-114,1.050712
2025-07-22T19:22:29Z,SF7BW125,CCCCDDDD,49,918.2,-3.5,-116,1.058078
2025-07-22T19:23:01Z,SF7BW125,CCCCDDDD,50,917.8,0.8,-113,1.050925
2025-07-22T19:23:33Z,SF7BW125,CCCCDDDD,51,917.6,0.0,-114,1.042670
2025-07-22T19:24:05Z,SF7BW125,CCCCDDDD,52,916.8,-1.5,-118,1.038874
2025-07-22T19:24:37Z,SF7BW125,CCCCDDDD,53,917.0,-3.2,-118,1.032161
2025-07-22T19:25:09Z,SF7BW125,CCCCDDDD,54,917.4,-0.8,-113,0.030466
2025-07-22T19:25:41Z,SF7BW125,CCCCDDDD,55,917.2,-2.5,-114,0.030601
2025-07-22T19:26:13Z,SF7BW125,CCCCDDDD,56,918.0,-0.2,-113,0.028737
2025-07-22T19:26:45Z,SF7BW125,CCCCDDDD,57,916.8,-2.0,-118,0.026716
2025-07-22T19:27:17Z,SF7BW125,CCCCDDDD,58,917.8,-4.0,-114,0.023406
2025-07-22T19:27:49Z,SF7BW125,CCCCDDDD,59,917.4,-2.8,-118,0.026264
2025-07-22T19:28:21Z,SF7BW125,CCCCDDDD,60,917.2,1.8,-113,0.032929
2025-07-22T19:28:53Z,SF7BW125,CCCCDDDD,61,918.2,3.0,-111,0.032939
2025-07-22T19:29:25Z,SF7BW125,CCCCDDDD,62,917.6,1.2,-114,0.035094
2025-07-22T19:29:57Z,SF7BW125,CCCCDDDD,63,917.0,-2.0,-114,0.947749
2025-07-22T19:30:29Z,SF7BW125,CCCCDDDD,64,916.8,-2.8,-117,0.994948
2025-07-22T19:31:01Z,SF7BW125,CCCCDDDD,65,918.2,-1.0,-114,1.023629
